chapter,sense,lemma,sentence,sentence_start_char,sentence_end_char
4,SIGHT,gaze,"“What?” said Mrs. Reed under her breath: her usually cold composed grey eye became troubled with a look like fear; she took her hand from my arm, and gazed at me as if she really did not know whether I were child or fiend.",2738,2960
4,SMELL,breath,"“What?” said Mrs. Reed under her breath: her usually cold composed grey eye became troubled with a look like fear; she took her hand from my arm, and gazed at me as if she really did not know whether I were child or fiend.",2738,2960
4,TOUCH,cold,"“What?” said Mrs. Reed under her breath: her usually cold composed grey eye became troubled with a look like fear; she took her hand from my arm, and gazed at me as if she really did not know whether I were child or fiend.",2738,2960
4,SIGHT,witness,"From every enjoyment I was, of course, excluded: my share of the gaiety consisted in witnessing the daily apparelling of Eliza and Georgiana, and seeing them descend to the drawing-room, dressed out in thin muslin frocks and scarlet sashes, with hair elaborately ringletted; and afterwards, in listening to the sound of the piano or the harp played below, to the passing to and fro of the butler and footman, to the jingling of glass and china as refreshments were handed, to the broken hum of conversation as the drawing-room door opened and closed.",3721,4271
4,SIGHT,see,"From every enjoyment I was, of course, excluded: my share of the gaiety consisted in witnessing the daily apparelling of Eliza and Georgiana, and seeing them descend to the drawing-room, dressed out in thin muslin frocks and scarlet sashes, with hair elaborately ringletted; and afterwards, in listening to the sound of the piano or the harp played below, to the passing to and fro of the butler and footman, to the jingling of glass and china as refreshments were handed, to the broken hum of conversation as the drawing-room door opened and closed.",3721,4271
4,SOUND,listen,"From every enjoyment I was, of course, excluded: my share of the gaiety consisted in witnessing the daily apparelling of Eliza and Georgiana, and seeing them descend to the drawing-room, dressed out in thin muslin frocks and scarlet sashes, with hair elaborately ringletted; and afterwards, in listening to the sound of the piano or the harp played below, to the passing to and fro of the butler and footman, to the jingling of glass and china as refreshments were handed, to the broken hum of conversation as the drawing-room door opened and closed.",3721,4271
4,SOUND,sound,"From every enjoyment I was, of course, excluded: my share of the gaiety consisted in witnessing the daily apparelling of Eliza and Georgiana, and seeing them descend to the drawing-room, dressed out in thin muslin frocks and scarlet sashes, with hair elaborately ringletted; and afterwards, in listening to the sound of the piano or the harp played below, to the passing to and fro of the butler and footman, to the jingling of glass and china as refreshments were handed, to the broken hum of conversation as the drawing-room door opened and closed.",3721,4271
4,SOUND,hum,"From every enjoyment I was, of course, excluded: my share of the gaiety consisted in witnessing the daily apparelling of Eliza and Georgiana, and seeing them descend to the drawing-room, dressed out in thin muslin frocks and scarlet sashes, with hair elaborately ringletted; and afterwards, in listening to the sound of the piano or the harp played below, to the passing to and fro of the butler and footman, to the jingling of glass and china as refreshments were handed, to the broken hum of conversation as the drawing-room door opened and closed.",3721,4271
4,SIGHT,glance,"I then sat with my doll on my knee till the fire got low, glancing round occasionally to make sure that nothing worse than myself haunted the shadowy room; and when the embers sank to a dull red, I undressed hastily, tugging at knots and strings as I best might, and sought shelter from cold and darkness in my crib.",4939,5256
4,TOUCH,cold,"I then sat with my doll on my knee till the fire got low, glancing round occasionally to make sure that nothing worse than myself haunted the shadowy room; and when the embers sank to a dull red, I undressed hastily, tugging at knots and strings as I best might, and sought shelter from cold and darkness in my crib.",4939,5256
4,SIGHT,look,"Having spread the quilt and folded my night-dress, I went to the window-seat to put in order some picture-books and doll’s house furniture scattered there; an abrupt command from Georgiana to let her playthings alone (for the tiny chairs and mirrors, the fairy plates and cups, were her property) stopped my proceedings; and then, for lack of other occupation, I fell to breathing on the frost-flowers with which the window was fretted, and thus clearing a space in the glass through which I might look out on the grounds, where all was still and petrified under the influence of a hard frost.",8695,9290
4,SMELL,breathe,"Having spread the quilt and folded my night-dress, I went to the window-seat to put in order some picture-books and doll’s house furniture scattered there; an abrupt command from Georgiana to let her playthings alone (for the tiny chairs and mirrors, the fairy plates and cups, were her property) stopped my proceedings; and then, for lack of other occupation, I fell to breathing on the frost-flowers with which the window was fretted, and thus clearing a space in the glass through which I might look out on the grounds, where all was still and petrified under the influence of a hard frost.",8695,9290
4,SIGHT,look,"You look quite red, as if you had been about some mischief: what were you opening the window for?” I was spared the trouble of answering, for Bessie seemed in too great a hurry to listen to explanations; she hauled me to the washstand, inflicted a merciless, but happily brief scrub on my face and hands with soap, water, and a coarse towel; disciplined my head with a bristly brush, denuded me of my pinafore, and then hurrying me to the top of the stairs, bid me go down directly, as I was wanted in the breakfast-room.",10661,11185
4,SOUND,listen,"You look quite red, as if you had been about some mischief: what were you opening the window for?” I was spared the trouble of answering, for Bessie seemed in too great a hurry to listen to explanations; she hauled me to the washstand, inflicted a merciless, but happily brief scrub on my face and hands with soap, water, and a coarse towel; disciplined my head with a bristly brush, denuded me of my pinafore, and then hurrying me to the top of the stairs, bid me go down directly, as I was wanted in the breakfast-room.",10661,11185
4,TOUCH,brush,"You look quite red, as if you had been about some mischief: what were you opening the window for?” I was spared the trouble of answering, for Bessie seemed in too great a hurry to listen to explanations; she hauled me to the washstand, inflicted a merciless, but happily brief scrub on my face and hands with soap, water, and a coarse towel; disciplined my head with a bristly brush, denuded me of my pinafore, and then hurrying me to the top of the stairs, bid me go down directly, as I was wanted in the breakfast-room.",10661,11185
4,SIGHT,look,"The handle turned, the door unclosed, and passing through and curtseying low, I looked up at—a black pillar!—such, at least, appeared to me, at first sight, the straight, narrow, sable-clad shape standing erect on the rug: the grim face at the top was like a carved mask, placed above the shaft by way of capital.",12200,12515
4,SIGHT,sight,"The handle turned, the door unclosed, and passing through and curtseying low, I looked up at—a black pillar!—such, at least, appeared to me, at first sight, the straight, narrow, sable-clad shape standing erect on the rug: the grim face at the top was like a carved mask, placed above the shaft by way of capital.",12200,12515
4,SIGHT,shape,"The handle turned, the door unclosed, and passing through and curtseying low, I looked up at—a black pillar!—such, at least, appeared to me, at first sight, the straight, narrow, sable-clad shape standing erect on the rug: the grim face at the top was like a carved mask, placed above the shaft by way of capital.",12200,12515
4,TOUCH,handle,"The handle turned, the door unclosed, and passing through and curtseying low, I looked up at—a black pillar!—such, at least, appeared to me, at first sight, the straight, narrow, sable-clad shape standing erect on the rug: the grim face at the top was like a carved mask, placed above the shaft by way of capital.",12200,12515
4,SIGHT,examine,"Mrs. Reed occupied her usual seat by the fireside; she made a signal to me to approach; I did so, and she introduced me to the stony stranger with the words: “This is the little girl respecting whom I applied to you.” _He_, for it was a man, turned his head slowly towards where I stood, and having examined me with the two inquisitive-looking grey eyes which twinkled under a pair of bushy brows, said solemnly, and in a bass voice, “Her size is small: what is her age?” “Ten years.” “So much?” was the doubtful answer; and he prolonged his scrutiny for some minutes.",12515,13086
4,SIGHT,look,"Mrs. Reed occupied her usual seat by the fireside; she made a signal to me to approach; I did so, and she introduced me to the stony stranger with the words: “This is the little girl respecting whom I applied to you.” _He_, for it was a man, turned his head slowly towards where I stood, and having examined me with the two inquisitive-looking grey eyes which twinkled under a pair of bushy brows, said solemnly, and in a bass voice, “Her size is small: what is her age?” “Ten years.” “So much?” was the doubtful answer; and he prolonged his scrutiny for some minutes.",12515,13086
4,SIGHT,eye,"Mrs. Reed occupied her usual seat by the fireside; she made a signal to me to approach; I did so, and she introduced me to the stony stranger with the words: “This is the little girl respecting whom I applied to you.” _He_, for it was a man, turned his head slowly towards where I stood, and having examined me with the two inquisitive-looking grey eyes which twinkled under a pair of bushy brows, said solemnly, and in a bass voice, “Her size is small: what is her age?” “Ten years.” “So much?” was the doubtful answer; and he prolonged his scrutiny for some minutes.",12515,13086
4,SOUND,voice,"Mrs. Reed occupied her usual seat by the fireside; she made a signal to me to approach; I did so, and she introduced me to the stony stranger with the words: “This is the little girl respecting whom I applied to you.” _He_, for it was a man, turned his head slowly towards where I stood, and having examined me with the two inquisitive-looking grey eyes which twinkled under a pair of bushy brows, said solemnly, and in a bass voice, “Her size is small: what is her age?” “Ten years.” “So much?” was the doubtful answer; and he prolonged his scrutiny for some minutes.",12515,13086
4,SIGHT,eye,"It is to be feared the same could not be said of you were you to be called hence.” Not being in a condition to remove his doubt, I only cast my eyes down on the two large feet planted on the rug, and sighed, wishing myself far enough away.",14721,14963
4,SOUND,sigh,"It is to be feared the same could not be said of you were you to be called hence.” Not being in a condition to remove his doubt, I only cast my eyes down on the two large feet planted on the rug, and sighed, wishing myself far enough away.",14721,14963
4,SIGHT,perceive,"Now, uttered before a stranger, the accusation cut me to the heart; I dimly perceived that she was already obliterating hope from the new phase of existence which she destined me to enter; I felt, though I could not have expressed the feeling, that she was sowing aversion and unkindness along my future path; I saw myself transformed under Mr. Brocklehurst’s eye into an artful, noxious child, and what could I do to remedy the injury?",17182,17620
4,SIGHT,see,"Now, uttered before a stranger, the accusation cut me to the heart; I dimly perceived that she was already obliterating hope from the new phase of existence which she destined me to enter; I felt, though I could not have expressed the feeling, that she was sowing aversion and unkindness along my future path; I saw myself transformed under Mr. Brocklehurst’s eye into an artful, noxious child, and what could I do to remedy the injury?",17182,17620
4,SIGHT,eye,"Now, uttered before a stranger, the accusation cut me to the heart; I dimly perceived that she was already obliterating hope from the new phase of existence which she destined me to enter; I felt, though I could not have expressed the feeling, that she was sowing aversion and unkindness along my future path; I saw myself transformed under Mr. Brocklehurst’s eye into an artful, noxious child, and what could I do to remedy the injury?",17182,17620
4,TOUCH,feel,"Now, uttered before a stranger, the accusation cut me to the heart; I dimly perceived that she was already obliterating hope from the new phase of existence which she destined me to enter; I felt, though I could not have expressed the feeling, that she was sowing aversion and unkindness along my future path; I saw myself transformed under Mr. Brocklehurst’s eye into an artful, noxious child, and what could I do to remedy the injury?",17182,17620
4,SIGHT,light,"Mrs. Reed might be at that time some six or seven and thirty; she was a woman of robust frame, square-shouldered and strong-limbed, not tall, and, though stout, not obese: she had a somewhat large face, the under jaw being much developed and very solid; her brow was low, her chin large and prominent, mouth and nose sufficiently regular; under her light eyebrows glimmered an eye devoid of ruth; her skin was dark and opaque, her hair nearly flaxen; her constitution was sound as a bell—illness never came near her; she was an exact, clever manager; her household and tenantry were thoroughly under her control; her children only at times defied her authority and laughed it to scorn; she dressed well, and had a presence and port calculated to set off handsome attire.",21063,21835
4,SIGHT,eye,"Mrs. Reed might be at that time some six or seven and thirty; she was a woman of robust frame, square-shouldered and strong-limbed, not tall, and, though stout, not obese: she had a somewhat large face, the under jaw being much developed and very solid; her brow was low, her chin large and prominent, mouth and nose sufficiently regular; under her light eyebrows glimmered an eye devoid of ruth; her skin was dark and opaque, her hair nearly flaxen; her constitution was sound as a bell—illness never came near her; she was an exact, clever manager; her household and tenantry were thoroughly under her control; her children only at times defied her authority and laughed it to scorn; she dressed well, and had a presence and port calculated to set off handsome attire.",21063,21835
4,SOUND,sound,"Mrs. Reed might be at that time some six or seven and thirty; she was a woman of robust frame, square-shouldered and strong-limbed, not tall, and, though stout, not obese: she had a somewhat large face, the under jaw being much developed and very solid; her brow was low, her chin large and prominent, mouth and nose sufficiently regular; under her light eyebrows glimmered an eye devoid of ruth; her skin was dark and opaque, her hair nearly flaxen; her constitution was sound as a bell—illness never came near her; she was an exact, clever manager; her household and tenantry were thoroughly under her control; her children only at times defied her authority and laughed it to scorn; she dressed well, and had a presence and port calculated to set off handsome attire.",21063,21835
4,SOUND,hear,"What had just passed; what Mrs. Reed had said concerning me to Mr. Brocklehurst; the whole tenor of their conversation, was recent, raw, and stinging in my mind; I had felt every word as acutely as I had heard it plainly, and a passion of resentment fomented now within me.",22086,22361
4,TOUCH,feel,"What had just passed; what Mrs. Reed had said concerning me to Mr. Brocklehurst; the whole tenor of their conversation, was recent, raw, and stinging in my mind; I had felt every word as acutely as I had heard it plainly, and a passion of resentment fomented now within me.",22086,22361
4,SIGHT,eye,"That eye of hers, that voice stirred every antipathy I had.",23512,23571
4,SOUND,voice,"That eye of hers, that voice stirred every antipathy I had.",23512,23571
4,TASTE,taste,"Something of vengeance I had tasted for the first time; as aromatic wine it seemed, on swallowing, warm and racy: its after-flavour, metallic and corroding, gave me a sensation as if I had been poisoned.",27048,27252
4,TOUCH,sensation,"Something of vengeance I had tasted for the first time; as aromatic wine it seemed, on swallowing, warm and racy: its after-flavour, metallic and corroding, gave me a sensation as if I had been poisoned.",27048,27252
5,SIGHT,figure,"Here I walked about for a long time, feeling very strange, and mortally apprehensive of some one coming in and kidnapping me; for I believed in kidnappers, their exploits having frequently figured in Bessie’s fireside chronicles.",3603,3832
5,TOUCH,feel,"Here I walked about for a long time, feeling very strange, and mortally apprehensive of some one coming in and kidnapping me; for I believed in kidnappers, their exploits having frequently figured in Bessie’s fireside chronicles.",3603,3832
5,SOUND,sound,"At last the guard returned; once more I was stowed away in the coach, my protector mounted his own seat, sounded his hollow horn, and away we rattled over the “stony street” of L——. The afternoon came on wet and somewhat misty: as it waned into dusk, I began to feel that we were getting very far indeed from Gateshead: we ceased to pass through towns; the country changed; great grey hills heaved up round the horizon: as twilight deepened, we descended a valley, dark with wood, and long after night had overclouded the prospect, I heard a wild wind rushing amongst trees.",3833,4410
5,SOUND,rattle,"At last the guard returned; once more I was stowed away in the coach, my protector mounted his own seat, sounded his hollow horn, and away we rattled over the “stony street” of L——. The afternoon came on wet and somewhat misty: as it waned into dusk, I began to feel that we were getting very far indeed from Gateshead: we ceased to pass through towns; the country changed; great grey hills heaved up round the horizon: as twilight deepened, we descended a valley, dark with wood, and long after night had overclouded the prospect, I heard a wild wind rushing amongst trees.",3833,4410
5,SIGHT,prospect,"At last the guard returned; once more I was stowed away in the coach, my protector mounted his own seat, sounded his hollow horn, and away we rattled over the “stony street” of L——. The afternoon came on wet and somewhat misty: as it waned into dusk, I began to feel that we were getting very far indeed from Gateshead: we ceased to pass through towns; the country changed; great grey hills heaved up round the horizon: as twilight deepened, we descended a valley, dark with wood, and long after night had overclouded the prospect, I heard a wild wind rushing amongst trees.",3833,4410
5,SOUND,hear,"At last the guard returned; once more I was stowed away in the coach, my protector mounted his own seat, sounded his hollow horn, and away we rattled over the “stony street” of L——. The afternoon came on wet and somewhat misty: as it waned into dusk, I began to feel that we were getting very far indeed from Gateshead: we ceased to pass through towns; the country changed; great grey hills heaved up round the horizon: as twilight deepened, we descended a valley, dark with wood, and long after night had overclouded the prospect, I heard a wild wind rushing amongst trees.",3833,4410
5,TOUCH,feel,"At last the guard returned; once more I was stowed away in the coach, my protector mounted his own seat, sounded his hollow horn, and away we rattled over the “stony street” of L——. The afternoon came on wet and somewhat misty: as it waned into dusk, I began to feel that we were getting very far indeed from Gateshead: we ceased to pass through towns; the country changed; great grey hills heaved up round the horizon: as twilight deepened, we descended a valley, dark with wood, and long after night had overclouded the prospect, I heard a wild wind rushing amongst trees.",3833,4410
5,SOUND,sound,"Lulled by the sound, I at last dropped asleep; I had not long slumbered when the sudden cessation of motion awoke me; the coach-door was open, and a person like a servant was standing at it: I saw her face and dress by the light of the lamps.",4410,4654
5,SIGHT,see,"Lulled by the sound, I at last dropped asleep; I had not long slumbered when the sudden cessation of motion awoke me; the coach-door was open, and a person like a servant was standing at it: I saw her face and dress by the light of the lamps.",4410,4654
5,SIGHT,light,"Lulled by the sound, I at last dropped asleep; I had not long slumbered when the sudden cessation of motion awoke me; the coach-door was open, and a person like a servant was standing at it: I saw her face and dress by the light of the lamps.",4410,4654
5,SOUND,noise,"I was stiff with long sitting, and bewildered with the noise and motion of the coach: gathering my faculties, I looked about me.",4819,4947
5,SIGHT,look,"I was stiff with long sitting, and bewildered with the noise and motion of the coach: gathering my faculties, I looked about me.",4819,4947
5,SOUND,voice,"The lady I had left might be about twenty-nine; the one who went with me appeared some years younger: the first impressed me by her voice, look, and air.",6871,7024
5,SIGHT,look,"The lady I had left might be about twenty-nine; the one who went with me appeared some years younger: the first impressed me by her voice, look, and air.",6871,7024
5,SIGHT,see,"When it came to my turn, I drank, for I was thirsty, but did not touch the food, excitement and fatigue rendering me incapable of eating: I now saw, however, that it was a thin oaten cake shared into fragments.",8789,9001
5,TOUCH,touch,"When it came to my turn, I drank, for I was thirsty, but did not touch the food, excitement and fatigue rendering me incapable of eating: I now saw, however, that it was a thin oaten cake shared into fragments.",8789,9001
5,SIGHT,form,"Again the bell rang: all formed in file, two and two, and in that order descended the stairs and entered the cold and dimly lit schoolroom: here prayers were read by Miss Miller; afterwards she called out— “Form classes!”",10164,10388
5,SIGHT,light,"Again the bell rang: all formed in file, two and two, and in that order descended the stairs and entered the cold and dimly lit schoolroom: here prayers were read by Miss Miller; afterwards she called out— “Form classes!”",10164,10388
5,SIGHT,form,"Again the bell rang: all formed in file, two and two, and in that order descended the stairs and entered the cold and dimly lit schoolroom: here prayers were read by Miss Miller; afterwards she called out— “Form classes!”",10164,10388
5,TOUCH,cold,"Again the bell rang: all formed in file, two and two, and in that order descended the stairs and entered the cold and dimly lit schoolroom: here prayers were read by Miss Miller; afterwards she called out— “Form classes!”",10164,10388
5,SIGHT,see,"When it subsided, I saw them all drawn up in four semicircles, before four chairs, placed at the four tables; all held books in their hands, and a great book, like a Bible, lay on each table, before the vacant seat.",10502,10717
5,TOUCH,hold,"When it subsided, I saw them all drawn up in four semicircles, before four chairs, placed at the four tables; all held books in their hands, and a great book, like a Bible, lay on each table, before the vacant seat.",10502,10717
5,SOUND,sound,The indefatigable bell now sounded for the fourth time: the classes were marshalled and marched into another room to breakfast: how glad I was to behold a prospect of getting something to eat!,11439,11631
5,SIGHT,behold,The indefatigable bell now sounded for the fourth time: the classes were marshalled and marched into another room to breakfast: how glad I was to behold a prospect of getting something to eat!,11439,11631
